source	target	correlation
Verizon Communications	Rogers Communications	0.20627352749939626
Shanghai Electric Group	Shimao Property Holdings	0.07293495262128939
SK Holdings	ASML Holding	0.025616019152164705
Orix	Tokyu Fudosan	0.02551308861764938
Willis Group Holdings	Hana Financial Group	0.07260037636840945
CNO Financial Group	Intouch Holdings	0.023981580152306534
Hermès International	International Paper	0.085220663835526
Indian Bank	China Construction Bank	0.024273246472389574
Prudential Financial	TMB Bank	0.047551234202936374
Chugoku Bank	Arab Bank	0.024251226441259988
Permanent TSB Group	SVB Financial Group	0.04900637750707944
Land Securities Group	Citic Securities	0.02413711212595842
Oceanwide Holdings	Guangzhou Automobile Group Co. Ltd.	0.1946569775401175
Iliad	Telefónica	0.0489518047665327
X5 Retail Group	JB Financial Group	0.05044528378501489
Zurich Insurance Group	Intact Financial	0.02474014349631429
HSBC Holdings	Taishin Financial Holdings	0.20402636744640953
Trinity Industries	Atlas Copco	0.024428929226166105
AutoZone	Jabil Circuit	0.02243740915277188
Oil & Gas Development	Marathon Oil	0.08041634032231537
Sinohydro Group	JG Summit Holdings	0.025750319615477985
Shizuoka Bank	Tokyo Gas	0.024268729825004574
Fairfax Financial	First Financial Holding	0.047593327078437934
China Railway Group	China Resources Enterprise	0.04864717693324069
TonenGeneral Sekiyu	Secom	0.024162364944746703
Alstom	Embraer	0.024202462157911775
Hysan Development	Hertz Global Holdings	0.025894911010942757
Macquarie Group	Sinohydro Group	0.04723561371054137
Showa Shell Sekiyu	Lotte Chemical	0.02374505449618465
Kawasaki Heavy Industries	Fuji Heavy Industries	0.26780521753433406
E.Sun Financial	Top Frontier Investment Holdings	0.023975380836975504
China Merchants Bank	Blom Bank	0.024514195317109477
Datang International Power	Sichuan Changhong Electric	0.0749357731602366
EQT	Delhaize Group	0.024075448420858743
Formosa Chemicals	Tosoh	0.05031357892115891
China National Materials	Applied Materials	0.02407682993674188
Grifols	Illumina	0.07239190574761045
Xinhu Zhongbao	Shimao Property Holdings	0.0743057156798025
TDK	OMRON	0.048527079322559154
Longfor Properties	Century Tokyo Leasing	0.02376884224112637
Airgas	TRW Automotive Holdings	0.02349237881501918
Canadian Imperial Bank	Royal Ahold	0.12689577383114312
Republic Services	American International Group	0.023733674149597313
Mashreq Bank	Nanto Bank	0.09703736197313653
Shanghai Industrial Holdings	Sumitomo Chemical	0.023418199792198238
Yanzhou Coal Mining	Holcim	0.02450991454029329
JFE Holdings	Otsuka Holding	0.024963466000815216
Al Rajhi Bank	Piraeus Bank	0.024640520884527114
Restaurant Brands International	Magna International	0.07977299021252551
Tencent Holdings	SDIC Power Holdings	0.026085979456673295
Sekisui House	Tosoh	0.023732165607499866
Asahi Group Holdings	Alfresa Holdings	0.262792468920969
American Realty Capital Properties	Century Tokyo Leasing	0.024401872565478055
Penske Automotive	Tesla Motors	0.048984938654555506
Israel Discount Bank	Migdal Insurance	0.02475518505636629
China Merchants Bank	TMB Bank	0.07181568391623179
American Financial Group	Industrial Alliance Insurance	0.0761694989248444
NKSJ Holdings	Michael Kors Holdings	0.054960471931769374
Chicago Bridge & Iron	Church & Dwight	0.02474783100729759
Fukuoka Financial Group	Fidelity National Financial	0.02559716408793655
IOI Group	International Paper	0.02494657764425118
