Willis Group Holdings	HRG Group	0.10365513124194838
O'Reilly Automotive	TRW Automotive Holdings	0.1119427611072332
Mercuries & Associates	SL Green Realty	0.101629782200528
Meiji Holdings	Asahi Kasei	0.17819173947101175
AXA Group	KBC Group	0.2754592161336946
Mazda Motor	BMW Group	0.10430875067687269
Bank Muscat	Industrial Bank	0.12967651800690744
Power Finance	Korea Electric Power	0.2662282362627092
Insurance Australia Group	Samsung Life Insurance	0.1016004758961551
Tosoh	Ajinomoto	0.10001491680274739
Saudi Hollandi Bank	Burgan Bank	0.22838047272564907
Brightoil Petroleum	CNOOC	0.2617422697508172
Hyundai Motor	Motor Oil	0.11511236412721683
China Railway Construction	TBEA	0.15122381266593785
Bajaj Auto	Mahindra & Mahindra	0.1491964058196373
WH Group	HRG Group	0.10241944771683582
Toyota Motor	SAIC Motor	0.2074826675746582
Shanghai Industrial Holdings	Fosun International	0.20366646976998834
Axis Bank	Chugoku Bank	0.2550617081524745
Enel	Acciona	0.12931759556239295
DVB Bank	TMB Bank	0.28147351176017504
Aviva	ING Group	0.10929747839869441
Formosa Chemicals	Air Products & Chemicals	0.10986076803016094
Citic Securities	Daiwa Securities	0.13108242470249046
Harbin Bank	China Development Financial	0.10119915554368929
Allianz	Vienna Insurance Group	0.11931921883499189
Mitsui Fudosan	Sumitomo Realty	0.3037282341820345
CF Industries Holdings	Phoenix Group Holdings	0.11766892223173954
Nippon Paint	Nippon Yusen	0.12267289617410351
Compal Electronics	Samsung Electronics	0.1250724545308146
Alrosa	UC Rusal	0.1945235091214678
Sharp	Kyocera	0.1295323283979808
Hanwha Corp	TCL Corp	0.1559507102321087
Insurance Australia Group	QBE Insurance Group	0.33256137154167803
SVB Financial Group	HRG Group	0.10079149875741929
ICICI Bank	Indian Overseas Bank	0.35074730883044375
Regions Financial	Discover Financial Services	0.2003117872621522
Kirin Holdings	Tencent Holdings	0.11569165130033614
Ambac Financial Group	JB Financial Group	0.10415633658581373
China Pacific Insurance	Canadian Pacific Railway	0.10267743164276286
SJM Holdings	Greentown China Holdings	0.13250035420972264
National Commercial Bank	Standard Bank Group	0.15420821335452564
Banco Bradesco	Banco Continental	0.4331482254352117
Shaanxi Coal Industry	Inner Mongolia Baotou Steel	0.17414063352643838
Tyco International	International Airlines	0.13046233496127996
Marriott International	Glencore International	0.1037008431750708
Imperial Tobacco Group	Sun Art Retail Group	0.10201999179201186
Banco Davivienda	Banco Comercial Portugues	0.1528470692295027
Agile Property Holdings	CIMB Group Holdings	0.11106128829193625
Harbin Bank	Taiwan Cooperative Financial	0.23757571131407623
Nordea Bank	Sampo	0.3157766440470367
Japan Exchange Group	Asahi Group Holdings	0.1999235557757406
SOHO China	China Hongqiao Group	0.20946053266715114
Voya Financial	Hana Financial Group	0.10108941303193247
Surgutneftegas	Transneft	0.18410852906022798
National Australia Bank	Toho Bank	0.10064985062078326
Brilliance China Automotive Holdings	Sany Heavy Industry	0.1256159524900513
Kao Corp	TCL Corp	0.27009064286995504
Kirin Holdings	Yamato Holdings	0.13944456109950332
Barrick Gold	Teck Resources	0.1730721364725649
Alfresa Holdings	CIMB Group Holdings	0.11116897946714067
Softbank	KDDI	0.6413114673817716
Recruit Holdings	FBN Holdings	0.2235952075233925
SJM Holdings	Longfor Properties	0.12624316204445704
Arab National Bank	Arab Bank	0.6197024033532644
Indian Bank	DVB Bank	0.10529317135053023
China CNR	Guangdong Investment	0.17673544333295393
Intouch Holdings	Graham Holdings	0.14118331209247686
China Construction Bank	China Development Financial	0.17708106425602863
Chang Hwa Bank	Li & Fung	0.22958005618103539
Axis Bank	Andhra Bank	0.23296782960100387
LG Corp	Samsung Card	0.12874637309596687
China Cosco Holdings	Alfresa Holdings	0.1577178392253956
National Australia Bank	Punjab National Bank	0.20667122308792918
Saudi Hollandi Bank	Arab National Bank	0.20264479336858998
Resona Holdings	Sumitomo Mitsui Trust	0.10171372742154444
Magna International	International Airlines	0.10315037391184648
Hankyu Hanshin Holdings	Lotte Shopping	0.1180477453439577
Lenovo Group	Fukuoka Financial Group	0.10081392615970908
Kaisa Group Holdings	GS Holdings	0.1925231219532672
Chongqing Rural Bank	China Construction Bank	0.300993014867689
Riyad Bank	UCO Bank	0.10240681076185051
Axis Bank	Keiyo Bank	0.1268309146069985
West Japan Railway	North Pacific Bank	0.23459636284052632
JX Holdings	Fosun International	0.15011148098585808
Grupo Aval	Grupo Carso	0.5822031141911485
FBN Holdings	RMB Holdings	0.1522685984418238
Amgen	Valeant Pharmaceuticals	0.12710351253208174
Shaanxi Coal Industry	China Resources Land	0.12533768482151098
Steinhoff International	Tyco International	0.1877197077419584
China National Building	China Power International Development	0.12735927759753976
Land Securities Group	Everbright Securities	0.12145990226644962
Inventec	Quanta Computer	0.20361463807407262
Commercial International Bank	Shizuoka Bank	0.10004070329846615
Sears Holdings	Belle International Holdings	0.1099498795109855
Oil & Gas Development	Oil & Natural Gas	0.5715681182820799
Keiyo Bank	Iyo Bank	0.17926877415396283
Kirin Holdings	Recruit Holdings	0.1187817778213254
China Taiping Insurance	Shanghai International Port	0.12344402680409765
JTEKT	NSK	0.12217667670842347
Schneider Electric	Electric Power Development	0.10568312167155489
Ashikaga Holdings	Tokio Marine Holdings	0.20119544883108378
Banco de Sabadell	Banco Popular Espanol	0.2296476082751423
Western Union	Union Pacific	0.2746573765412283
China Resources Power	China Longyuan Power	0.5381043831923572
NextEra Energy	Valero Energy	0.17901703728006071
International Paper	Belle International Holdings	0.1646289257213614
Rockwell Collins	Henderson Land	0.12707993800243794
CNO Financial Group	AIA Group	0.22818890296874678
Xinhu Zhongbao	Guangdong Investment	0.10250938342307381
Chongqing Rural Bank	DVB Bank	0.15286362083609634
Yanzhou Coal Mining	AGL Resources	0.15333314348686694
Hilton Worldwide Holdings	Wyndham Worldwide	0.32956429514674795
Dongfang Electric	China Gezhouba	0.20555811380071415
Taisei	Sumitomo Realty	0.10010239816573482
Corporation Bank	Standard Bank Group	0.18619328546401548
Mitsubishi Electric	Tokyo Electric Power	0.17336301580031646
Daimler	Valeo	0.10811318443312906
Komatsu	IHI	0.12478168460298941
Hunan Valin Steel	China Steel	0.5568639848055026
JX Holdings	Shimao Property Holdings	0.15620235588494988
Toyota Motor	Delphi Automotive	0.12380879296210255
Mitsubishi Electric	Hokkaido Electric Power	0.14827923332852674
Toho Bank	Kagoshima Bank	0.38734312745140337
Flextronics International	Expeditors International	0.1333350815479839
Lear	TRW Automotive Holdings	0.12383987054547271
Ternium	Metalurgica Gerdau	0.25772146435845844
Bank Muscat	Mashreq Bank	0.4015913775282707
Cenovus Energy	Spectra Energy	0.10045536867384663
MegaFon	VimpelCom	0.5722597052426802
Industrial Bank	Iyo Bank	0.2305158161930459
Westpac Banking Group	ANZ	0.2908672192379694
KPN	Belgacom	0.6105056222991134
Xinhu Zhongbao	China Resources Power	0.10070476590398036
Goldin Financial Holdings	First Financial Holding	0.1825292289174589
China Galaxy Securities	Everbright Securities	0.20566053949794358
Intesa Sanpaolo	A2A	0.40058192389186104
Johnson Controls	Taylor Wimpey	0.10597573877920431
Guangdong Electric Power	CGN Power	0.24296079589405759
Japan Exchange Group	Mizuho Financial	0.12734362535471588
China Yangtze Power	China Longyuan Power	0.4098127890359417
Solvay	DSM	0.15458293360438277
Itochu	Sumitomo Mitsui Financial	0.4429873733998196
Waters	Henderson Land	0.13004187168126227
China Power International Development	China Resources Power	0.20885869066500692
China Coal Energy	China Shenhua Energy	0.6329014778659345
